HC,frame,u,v,x,y,z
1,1,337,131,0.09738612643866744,0.9366494182673764,0.3578079412378715
1,1,450,284,0.32743287724665204,0.948450105071545,0.108032940279787
1,1,304,399,0.05412168909994403,0.9352180440936072,-0.10598611242594283
1,1,184,251,-0.16940314267134507,0.9237195165519637,0.15770671268232736
1,2,362,145,0.14536096863250464,0.9089128329597577,0.327974055842026
1,2,392,336,0.22057622561575158,0.9678329429114984,0.004451970892192465
1,2,214,376,-0.11638304090353739,0.9732589866708985,-0.06118240871456726
1,2,165,186,-0.1937478656781907,0.9148813117077077,0.25906503843989503
1,3,359,160,0.16833540686826462,0.9945777481847934,0.32801046777434284
1,3,396,338,0.22771266639585358,0.9764719411103394,0.0010216869118286828
1,3,226,373,-0.09628326056252672,0.8874688721206423,-0.05432994645298683
1,3,181,174,-0.17049716185292368,0.9018954084888892,0.2740072638987897
